ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,Source,District,Village,DataType,List_ID,SubGroup
Arkhit1,Lezgian,lezg1247,Lezgian,lez,Eurasia,41.734607,47.97302,East-Caucasian,chechuroFieldData,Khiv,Arkhit,Speaker,2,Lezgic
Arkhit2,Lezgian,lezg1247,Lezgian,lez,Eurasia,41.734607,47.97302,East-Caucasian,chechuroFieldData,Khiv,Arkhit,Speaker,3,Lezgic
Arkhit3,Lezgian,lezg1247,Lezgian,lez,Eurasia,41.734607,47.97302,East-Caucasian,chechuroFieldData,Khiv,Arkhit,Speaker,4,Lezgic
Arkhit4,Lezgian,lezg1247,Lezgian,lez,Eurasia,41.734607,47.97302,East-Caucasian,chechuroFieldData,Khiv,Arkhit,Speaker,5,Lezgic
Arkhit5,Lezgian,lezg1247,Lezgian,lez,Eurasia,41.734607,47.97302,East-Caucasian,chechuroFieldData,Khiv,Arkhit,Speaker,6,Lezgic
Arkhit6,Lezgian,lezg1247,Lezgian,lez,Eurasia,41.734607,47.97302,East-Caucasian,chechuroFieldData,Khiv,Arkhit,Speaker,7,Lezgic
E_Azerbaijani,Azerbaijani,nort2697,North Azerbaijani,azj,Eurasia,40.97767,46.4737,Altaic,chechuroFieldData,Expert,Expert,Expert,13,Turkic
E_Russian,Russian,russ1263,Russian,rus,Eurasia,59,50,Indo-European,chechuroFieldData,Expert,Expert,Dictionary,22,Slavic
Darvag1,Azerbaijani,nort2697,North Azerbaijani,azj,Eurasia,42.022285,48.065912,Altaic,chechuroFieldData,Tabasaran,Darvag,Speaker,26,Turkic
Darvag2,Azerbaijani,nort2697,North Azerbaijani,azj,Eurasia,42.022285,48.065912,Altaic,chechuroFieldData,Tabasaran,Darvag,Speaker,27,Turkic
Darvag3,Azerbaijani,nort2697,North Azerbaijani,azj,Eurasia,42.022285,48.065912,Altaic,chechuroFieldData,Tabasaran,Darvag,Speaker,28,Turkic
Darvag4,Azerbaijani,nort2697,North Azerbaijani,azj,Eurasia,42.022285,48.065912,Altaic,chechuroFieldData,Tabasaran,Darvag,Speaker,29,Turkic
Darvag5,Azerbaijani,nort2697,North Azerbaijani,azj,Eurasia,42.022285,48.065912,Altaic,chechuroFieldData,Tabasaran,Darvag,Speaker,31,Turkic
Darvag6,Azerbaijani,nort2697,North Azerbaijani,azj,Eurasia,42.022285,48.065912,Altaic,chechuroFieldData,Tabasaran,Darvag,Speaker,32,Turkic
Dyubek1,Tabasaran,taba1259,Tabasaran,tab,Eurasia,42.0208,47.969528,East-Caucasian,chechuroFieldData,Tabasaran,Dyubek,Speaker,33,Lezgic
Dyubek2,Tabasaran,taba1259,Tabasaran,tab,Eurasia,42.0208,47.969528,East-Caucasian,chechuroFieldData,Tabasaran,Dyubek,Speaker,34,Lezgic
Dyubek3,Tabasaran,taba1259,Tabasaran,tab,Eurasia,42.0208,47.969528,East-Caucasian,chechuroFieldData,Tabasaran,Dyubek,Speaker,35,Lezgic
Dyubek4,Tabasaran,taba1259,Tabasaran,tab,Eurasia,42.0208,47.969528,East-Caucasian,chechuroFieldData,Tabasaran,Dyubek,Speaker,36,Lezgic
Gelmets1,Tsakhur,tsak1249,Tsakhur,tkr,Eurasia,41.62466,47.17889,East-Caucasian,chechuroFieldData,Rutul,Gelmets,Speaker,45,Lezgic
Gelmets2,Tsakhur,tsak1249,Tsakhur,tkr,Eurasia,41.62466,47.17889,East-Caucasian,chechuroFieldData,Rutul,Gelmets,Speaker,46,Lezgic
Gelmets3,Tsakhur,tsak1249,Tsakhur,tkr,Eurasia,41.62466,47.17889,East-Caucasian,chechuroFieldData,Rutul,Gelmets,Speaker,47,Lezgic
Ikhrek4,Rutul,rutu1240,Rutul,rut,Eurasia,41.693931,47.210005,East-Caucasian,chechuroFieldData,Rutul,Ikhrek,Speaker,51,Lezgic
Ilisu1,Azerbaijani,nort2697,North Azerbaijani,azj,Eurasia,41.46694,47.05917,Altaic,suleymanovPC,Qax,Ilisu,Speaker,52,Turkic
Khapil1,Tabasaran,taba1259,Tabasaran,tab,Eurasia,41.98722,47.97731,East-Caucasian,chechuroFieldData,Tabasaran,Khapil’,Speaker,57,Lezgic
Khapil2,Tabasaran,taba1259,Tabasaran,tab,Eurasia,41.98722,47.97731,East-Caucasian,chechuroFieldData,Tabasaran,Khapil’,Speaker,58,Lezgic
Khapil3,Tabasaran,taba1259,Tabasaran,tab,Eurasia,41.98722,47.97731,East-Caucasian,chechuroFieldData,Tabasaran,Khapil’,Speaker,59,Lezgic
Khapil4,Tabasaran,taba1259,Tabasaran,tab,Eurasia,41.98722,47.97731,East-Caucasian,chechuroFieldData,Tabasaran,Khapil’,Speaker,60,Lezgic
Khapil5,Tabasaran,taba1259,Tabasaran,tab,Eurasia,41.98722,47.97731,East-Caucasian,chechuroFieldData,Tabasaran,Khapil’,Speaker,61,Lezgic
Khiv1,Tabasaran,taba1259,Tabasaran,tab,Eurasia,41.7533,47.9286,East-Caucasian,chechuroFieldData,Khiv,Khiv,Speaker,62,Lezgic
Khiv2,Tabasaran,taba1259,Tabasaran,tab,Eurasia,41.7533,47.9286,East-Caucasian,chechuroFieldData,Khiv,Khiv,Speaker,63,Lezgic
Khiv3,Tabasaran,taba1259,Tabasaran,tab,Eurasia,41.7533,47.9286,East-Caucasian,chechuroFieldData,Khiv,Khiv,Speaker,64,Lezgic
Khiv4,Tabasaran,taba1259,Tabasaran,tab,Eurasia,41.7533,47.9286,East-Caucasian,chechuroFieldData,Khiv,Khiv,Speaker,65,Lezgic
Khlyut1,Lezgian,lezg1247,Lezgian,lez,Eurasia,41.496274,47.533824,East-Caucasian,chechuroFieldData,Rutul,Khlyut,Speaker,66,Lezgic
Khlyut2,Lezgian,lezg1247,Lezgian,lez,Eurasia,41.496274,47.533824,East-Caucasian,chechuroFieldData,Rutul,Khlyut,Speaker,67,Lezgic
Khlyut3,Lezgian,lezg1247,Lezgian,lez,Eurasia,41.496274,47.533824,East-Caucasian,chechuroFieldData,Rutul,Khlyut,Speaker,68,Lezgic
Khlyut4,Lezgian,lezg1247,Lezgian,lez,Eurasia,41.496274,47.533824,East-Caucasian,chechuroFieldData,Rutul,Khlyut,Speaker,69,Lezgic
Khlyut5,Lezgian,lezg1247,Lezgian,lez,Eurasia,41.496274,47.533824,East-Caucasian,chechuroFieldData,Rutul,Khlyut,Speaker,70,Lezgic
Khoredzh1,Tabasaran,taba1259,Tabasaran,tab,Eurasia,41.74914,47.8667,East-Caucasian,chechuroFieldData,Khiv,Khoredzh,Speaker,71,Lezgic
Khoredzh2,Tabasaran,taba1259,Tabasaran,tab,Eurasia,41.74914,47.8667,East-Caucasian,chechuroFieldData,Khiv,Khoredzh,Speaker,72,Lezgic
Khoredzh4,Tabasaran,taba1259,Tabasaran,tab,Eurasia,41.74914,47.8667,East-Caucasian,chechuroFieldData,Khiv,Khoredzh,Speaker,74,Lezgic
Khoredzh5,Tabasaran,taba1259,Tabasaran,tab,Eurasia,41.74914,47.8667,East-Caucasian,chechuroFieldData,Khiv,Khoredzh,Speaker,75,Lezgic
Khoredzh6,Tabasaran,taba1259,Tabasaran,tab,Eurasia,41.74914,47.8667,East-Caucasian,chechuroFieldData,Khiv,Khoredzh,Speaker,76,Lezgic
Kiche1,Rutul,rutu1240,Rutul,rut,Eurasia,41.53146,47.48171,East-Caucasian,chechuroFieldData,Rutul,Kiche,Speaker,81,Lezgic
Kiche2,Rutul,rutu1240,Rutul,rut,Eurasia,41.53146,47.48171,East-Caucasian,chechuroFieldData,Rutul,Kiche,Speaker,82,Lezgic
