List_ID	DataType	ID	Name	Family	SubGroup	Glottocode	Village	Latitude	Longitude	District	Source
2	Speaker	Arkhit1	Lezgian	East-Caucasian	Lezgic	lezg1247	Arkhit	41.734607	47.97302	Khiv	chechurofielddata
3	Speaker	Arkhit2	Lezgian	East-Caucasian	Lezgic	lezg1247	Arkhit	41.734607	47.97302	Khiv	chechurofielddata
4	Speaker	Arkhit3	Lezgian	East-Caucasian	Lezgic	lezg1247	Arkhit	41.734607	47.97302	Khiv	chechurofielddata
5	Speaker	Arkhit4	Lezgian	East-Caucasian	Lezgic	lezg1247	Arkhit	41.734607	47.97302	Khiv	chechurofielddata
6	Speaker	Arkhit5	Lezgian	East-Caucasian	Lezgic	lezg1247	Arkhit	41.734607	47.97302	Khiv	chechurofielddata
7	Speaker	Arkhit6	Lezgian	East-Caucasian	Lezgic	lezg1247	Arkhit	41.734607	47.97302	Khiv	chechurofielddata
13	Expert	E_Azerbaijani	Azerbaijani	Altaic	Turkic	nort2697	Expert	40.97767	46.4737	Expert	suleymanovpc
22	Dictionary	E_Russian	Russian	Indo-European	Slavic	russ1263	Expert	59	50	Expert	chechurofielddata
26	Speaker	Darvag1	Azerbaijani	Altaic	Turkic	nort2697	Darvag	42.022285	48.065912	Tabasaran	chechurofielddata
27	Speaker	Darvag2	Azerbaijani	Altaic	Turkic	nort2697	Darvag	42.022285	48.065912	Tabasaran	chechurofielddata
28	Speaker	Darvag3	Azerbaijani	Altaic	Turkic	nort2697	Darvag	42.022285	48.065912	Tabasaran	chechurofielddata
29	Speaker	Darvag4	Azerbaijani	Altaic	Turkic	nort2697	Darvag	42.022285	48.065912	Tabasaran	chechurofielddata
31	Speaker	Darvag5	Azerbaijani	Altaic	Turkic	nort2697	Darvag	42.022285	48.065912	Tabasaran	chechurofielddata
32	Speaker	Darvag6	Azerbaijani	Altaic	Turkic	nort2697	Darvag	42.022285	48.065912	Tabasaran	chechurofielddata
