Concept_ID	Concept	RUSSIAN	CONCEPTICON_ID	CONCEPTICON_GLOSS
1	the ant	муравей	587	ANT
2	the arch	арка	876	ARCH
3	the axe/ax	топор	677	AXE
4	the ball	мяч, шар	1845	BALL
5	the barrel	бочка	2548	BARREL
6	the bat	летучая мышь	1793	BAT
7	the beak	клюв	73	BEAK
8	the beard	борода	678	BEARD
9	the beeswax	воск (пчелиный)	1931	BEESWAX
10	the belt	ремень, пояс	772	BELT
11	the blanket	одеяло	806	BLANKET
12	the blister	мозоль	1584	BLISTER
13	the boar	кабан, боров, вервь	3154	WILD BOAR
14	the body	тело	1480	BODY
15	the bottle	бутылка	1321	BOTTLE
16	the boundary	граница, межа	2546	BORDER
17	the bow	лук (оружие)	3228	BOW OR CROSSBOW
18	the bracelet	браслет	1754	BRACELET
19	the bridge	мост	1011	BRIDGE
20	the broom	метла	245	BROOM
21	the bucket	ведро	2052	BUCKET
22	the butterfly	бабочка	1791	BUTTERFLY
23	the cabbage	капуста (кочанная)	774	CABBAGE
24	the candle	свеча	1273	CANDLE
25	the carrot	морковь	3085	CARROT
26	the cat	кошка	1208	CAT
27	the cattle	крупный рогатый скот	1153	CATTLE
28	the cave	пещера	1155	CAVE
29	the chain	цепь	1627	CHAIN
30	the clan	тухум, род	302	CLAN
31	the clothing or clothes	одежда	1895	CLOTHES
32	the cock/rooster	петух	1511	ROOSTER
33	the colour/color	цвет	1613	COLOR
34	the copper	медь	1825	COPPER
35	the corpse	труп	767	CORPSE
36	the cross	крест	1367	CROSS
37	the cup	чашка	476	CUP
38	the debt	долг	1914	DEBT
39	the drum	барабан	908	DRUM
40	the duck	утка	1360	DUCK
41	the dust	пыль	2	DUST
42	the earring	серьга, сережка	770	EARRING
43	the egg	яйцо	744	EGG
44	the fairy tale	сказка	2937	FAIRY TALE
45	the family	семья	194	FAMILY
46	the felt	войлок	325	FELT
47	the fermented drink	буза	404	ALCOHOL (FERMENTED DRINK)
48	the firewood	дрова, топливо	10	FIREWOOD
49	the fish	рыба	227	FISH
50	the fist	кулак	1473	FIST
51	the flour	мука (пшеничная)	1594	FLOUR
52	the flower	цветок	239	FLOWER
53	the footprint	след (ноги)	318	FOOTPRINT
54	the fork	вилка	1302	FORK
55	the fork(2)/pitchfork	вилы	337	PITCHFORK
56	the friend	друг, приятель	1325	FRIEND
57	the frog	лягушка	503	FROG
58	the garden	сад	586	GARDEN
59	the glass	стекло	604	GLASS
60	the gold	золото	1369	GOLD
61	the goose	гусь	1187	GOOSE
62	the grape	виноград	920	GRAPE
63	the grasshopper	кузнечик	607	GRASSHOPPER
64	the guest	гость	1782	GUEST
65	the gun	ружьё	1566	GUN
66	the hammer	молоток	1481	HAMMER
67	the hare	заяц	1190	HARE
68	the herd	стадо (овец)	NA	NA
69	the iron	железо	621	IRON
70	the joke	шутка	3425	JOKE
71	the lead	свинец (из чего пули)	627	LEAD (CHEMICAL ELEMENT)
72	the lightning	молния	1654	LIGHTNING
73	the lion	лев	1386	LION
74	the lip	губа	478	LIP
75	the lizard	ящерица	632	LIZARD
76	the lock	замок (навесной)	1596	LOCK
77	the maize/corn	кукуруза	506	MAIZE
78	the medicine	лекарство	1372	MEDICINE
79	the melon	дыня	507	MELON
80	the mirror	зеркало	1171	MIRROR
81	the money	деньги	1559	MONEY
82	the mortar(2)	известковый раствор	1731	MORTAR BINDER
83	the mule	мул	890	MULE
84	the mushroom	гриб	641	MUSHROOM
85	the nail	гвоздь	502	NAIL (TOOL)
86	the needle(1)	игла	1382	NEEDLE (FOR SEWING)
87	the neighbour	сосед	1332	NEIGHBOUR
88	the nest	гнездо	539	NEST
89	the nettle	крапива	33	NETTLE
90	the oats	овёс (чем кормят лошадей)	60	OAT
91	the orphan	сирота	1149	ORPHAN
92	the owl	сова	735	OWL
93	the paint	краска	647	PAINT (PIGMENTS)
94	the paper	бумага	648	PAPER
95	the partridge	куропатка	3681	PARTRIDGE
96	the pea	горох	2025	PEA
97	the pear	груша	922	PEAR
98	the pencil	карандаш	2578	PENCIL
99	the pepper	перец (черный)	1385	PEPPER
100	the pig	свинья	1337	PIG
101	the pipe	трубка курительная	1124	PIPE
102	the plum	слива	NA	NA
103	the pocket	карман	1851	POCKET
104	the poison	яд	655	POISON
105	the price	цена	657	PRICE
106	the prison	тюрьма	1281	PRISON
107	the pumpkin or squash	тыква	864	PUMPKIN
108	the reindeer/caribou	олень	1936	DEER
109	the rice	рис	926	RICE
110	the ring	кольцо	1374	RING
111	the rope	веревка	1218	ROPE
112	the rosary	четки	NA	NA
113	the rust	ржавчина	3064	RUST
114	the sand	песок (строительный)	671	SAND
115	the saw	пила	1948	SAW
116	the scar	шрам	497	SCAR
117	the school	школа	673	SCHOOL
118	the scissors or shears	ножницы	1328	SCISSORS
119	the scythe	коса	20	SCYTHE
120	the sea	море	1474	SEA
121	the shade or shadow	тень	2275	SHADOW
122	the shop/store	магазин	746	SHOP
123	the sickle	серп	341	SICKLE
124	the silver	серебро	759	SILVER
125	the slave	раб	812	SLAVE
126	the sledge/sled	санки	368	SLEDGE
127	the sleeve	рукав	2953	SLEEVE
128	the soap	мыло	788	SOAP
129	the song	песня	1096	SONG
130	the soup	суп	1547	SOUP
