Concept_ID	Concept	RUSSIAN	CONCEPTICON_ID	CONCEPTICON_GLOSS
131	the spade	лопата	1176	SPADE
132	the spider	паук	843	SPIDER
133	the spoon	ложка	1378	SPOON
134	the sugar	сахар	862	SUGAR
135	the table	стол	1775	TABLE
136	the tail	хвост	1220	TAIL
137	the thief	вор	1160	THIEF
138	the thing	вещь, предмет	738	THING
139	the thread	нитка	1161	THREAD
140	the time	время	892	TIME
141	the tobacco	табак	974	TOBACCO
142	the tongs	щипцы, клещи	272	TONGS
143	the towel	полотенце	1021	TOWEL
144	the trousers	брюки	809	TROUSERS
145	the turnip	репа	3062	TURNIP
146	the voice	голос	1363	VOICE
147	the wall	стена	933	WALL (OF HOUSE)
148	the watermelon	арбуз	2766	WATERMELON
149	the wedding	свадьба	1259	WEDDING
150	the week	неделя	1469	WEEK
151	the wheel	колесо	710	WHEEL
152	the whip	кнут, хлыст (для лошади)	2630	WHIP
153	the widow	вдова	1756	WIDOW
154	the window	окно	1375	WINDOW
155	the wine	вино	1524	WINE
156	the wing	крыло	1257	WING
157	the wolf	волк	522	WOLF
158	the work	работа	984	WORK (LABOUR)
159	the worm	червяк	1219	WORM
160	the year	год	1226	YEAR
